Threads,ExecutionTime(ms),Speedup,Throughput(elements/sec)
Sequential,67.3424,1.0,1.48495e+07
1,84.313,0.798719,1.18606e+07
2,50.8158,1.32523,1.96789e+07
3,38.4593,1.751,2.60015e+07
4,36.5657,1.84168,2.7348e+07
5,37.7235,1.78516,2.65087e+07
6,35.5635,1.89358,2.81187e+07
7,38.3579,1.75563,2.60702e+07
8,36.1824,1.86119,2.76377e+07
