Threads,ExecutionTime(ms),Speedup,Throughput(elements/sec)
Sequential,811.221,1.0,1.23271e+07
1,1032.84,0.785426,9.68202e+06
2,564.774,1.43636,1.77062e+07
3,387.226,2.09495,2.58247e+07
4,323.672,2.50631,3.08955e+07
5,288.845,2.8085,3.46206e+07
6,285.41,2.8423,3.50373e+07
7,308.92,2.62599,3.23708e+07
8,263.713,3.07615,3.792e+07
