Array_Size,Number_Threads,Time,Speedup
5000000,1,0.337433,1.000
5000000,4,0.164711,2.049
1000000,1,0.060180,1.000
1000000,4,0.057918,1.039
10000000,1,0.666292,1.000
10000000,4,0.461791,1.443
